Year,Seafarer,ShoreOpe,ExpLoss,CS,Comm,Situ,Plan,Exec,RemOpe,RemMon
2021,10000000,5000000,30000000,1200000,12000000,20000000,30000000,20000000,45000000,5000000
2022,10100000,5025000,30300000,1200000,11640000,19600000,27000000,19600000,44100000,4900000
2023,10201000,5050125,30603000,1200000,11290800,19208000,24300000,19208000,43218000,4802000
2024,10303010,5075375,30909030,1200000,10952076,18823840,21870000,18823840,42353640,4705960
2025,10406040,5100751,31218120,1200000,10623513,18447363,19683000,18447363,41506567,4611840
2026,10510100,5126254,31530301,1200000,10304807,18078415,17714700,18078415,40676435,4519603
2027,10615201,5151885,31845604,1200000,9995662,17716846,15943230,17716846,39862906,4429210
2028,10721353,5177644,32164060,1200000,9695792,17362509,14348907,17362509,39065647,4340625
2029,10828566,5203532,32485700,1200000,9404918,17015258,12914016,17015258,38284334,4253812
2030,10936851,5229549,32810557,1200000,9122770,16674952,11622614,16674952,37518647,4168735
2031,11046219,5255696,33138662,1200000,8849086,16341452,10460352,16341452,36768274,4085360
2032,11156681,5281974,33470048,1200000,8583613,16014622,9414316,16014622,36032908,4003652
2033,11268247,5308383,33804748,1200000,8326104,15694329,8472884,15694329,35312249,3923578
2034,11380929,5334924,34142795,1200000,8076320,15380442,7625595,15380442,34606004,3845106
2035,11494738,5361598,34484222,1200000,7834030,15072833,6863035,15072833,33913883,3768203
2036,11609685,5388405,34829064,1200000,7599009,14771376,6176731,14771376,33235605,3692838
2037,11725781,5415347,35177354,1200000,7371038,14475948,5559057,14475948,32570892,3618981
2038,11843038,5442423,35529127,1200000,7149906,14186429,5003151,14186429,31919474,3546601
2039,11961468,5469635,35884418,1200000,6935408,13902700,4502835,13902700,31281084,3475668
2040,12081082,5496983,36243262,1200000,6727345,13624646,4052551,13624646,30655462,3406154
2041,12201892,5524467,36605694,1200000,6525524,13352153,3647295,13352153,30042352,3338030
2042,12323910,5552089,36971750,1200000,6329758,13085109,3282565,13085109,29441504,3271269
2043,12447149,5579849,37341467,1200000,6139865,12823406,2954308,12823406,28852673,3205843
2044,12571620,5607748,37714881,1200000,5955669,12566937,2658877,12566937,28275619,3141726
2045,12697336,5635786,38092029,1200000,5776998,12315598,2392989,12315598,27710106,3078891
2046,12824309,5663964,38472949,1200000,5603688,12069286,2153690,12069286,27155903,3017313
2047,12952552,5692283,38857678,1200000,5435577,11827900,1938321,11827900,26612784,2956966
2048,13082077,5720744,39246254,1200000,5272509,11591342,1744488,11591342,26080528,2897826
2049,13212897,5749347,39638716,1200000,5114333,11359515,1570039,11359515,25558917,2839869
2050,13345025,5778093,40035103,1200000,4960903,11132324,1413035,11132324,25047738,2783071
2051,13478475,5806983,40435454,1200000,4812075,10909677,1271731,10909677,24546783,2727409
2052,13613259,5836017,40839808,1200000,4667712,10691483,1144557,10691483,24055847,2672860
2053,13749391,5865197,41248206,1200000,4527680,10477653,1030101,10477653,23574730,2619402
2054,13886884,5894522,41660688,1200000,4391849,10268099,927090,10268099,23103235,2567013
2055,14025752,5923994,42077294,1200000,4260093,10062737,834381,10062737,22641170,2515672
2056,14166009,5953613,42498066,1200000,4132290,9861482,750942,9861482,22188346,2465358
2057,14307669,5983381,42923046,1200000,4008321,9664252,675847,9664252,21744579,2416050
2058,14450745,6013297,43352276,1200000,3888071,9470966,608262,9470966,21309687,2367729
2059,14595252,6043363,43785798,1200000,3771428,9281546,547435,9281546,20883493,2320374
2060,14741204,6073579,44223655,1200000,3658285,9095915,492691,9095915,20465823,2273966
2061,14888616,6103946,44665891,1200000,3548536,8913996,443421,8913996,20056506,2228486
2062,15037502,6134465,45112549,1200000,3442079,8735716,399078,8735716,19655375,2183916
2063,15187877,6165137,45563674,1200000,3338816,8561001,359170,8561001,19262267,2140237
2064,15339755,6195962,46019310,1200000,3238651,8389780,323253,8389780,18877021,2097432
2065,15493152,6226941,46479503,1200000,3141491,8221984,290927,8221984,18499480,2055483
2066,15648083,6258075,46944298,1200000,3047246,8057544,261834,8057544,18129490,2014373
2067,15804563,6289365,47413740,1200000,2955828,7896393,235650,7896393,17766900,1974085
2068,15962608,6320811,47887877,1200000,2867153,7738465,212085,7738465,17411562,1934603
2069,16122234,6352415,48366755,1200000,2781138,7583695,190876,7583695,17063330,1895910
2070,16283456,6384177,48850422,1200000,2697703,7432021,171788,7432021,16722063,1857991
