,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Year,Seafarer,ShoreOperator,ExpLoss,CS,Comm,Situ,Plan,Exec,RemOpe,RemMon,Fuel
0,0,0,0,0,0,0,2022,200000,100000,3000000,12000,45000,3200000.0,6000000,8000000,4000000,1000000,1420000.0
1,1,1,1,1,1,1,2023,202000,101000,3030000,12120,42750,2534400.0,5940000,7200000,3960000,990000,1151252.2527094427
2,2,2,2,2,2,2,2024,204020,102010,3060300,12241,40612,2007244.8,5880600,6480000,3920400,980100,1075882.7051021117
3,3,3,3,3,3,3,2025,206060,103030,3090903,12363,38581,1589737.8816000004,5821794,5832000,3881196,970299,1007876.9162686578
4,4,4,4,4,4,4,2026,208120,104060,3121812,12486,36651,1259072.3891200004,5763576,5248800,3842384,960596,949150.1718097863
5,5,5,5,5,5,5,2027,210201,105100,3153030,12610,34818,997185.29024,5705940,4723920,3803960,950990,785669.1988500082
6,6,6,6,6,6,6,2028,212303,106151,3184560,12736,33077,789770.6659840003,5648880,4251528,3765920,941480,851375.9022024715
7,7,7,7,7,7,7,2029,214426,107212,3216405,12863,31423,625498.2332416002,5592391,3826375,3728260,932065,981720.3282078906
8,8,8,8,8,8,8,2030,216570,108284,3248569,12991,29851,495394.5470402562,5536467,3443737,3690977,922744,898689.4610095597
9,9,9,9,9,9,9,2031,218735,109366,3281054,13120,28358,392352.456559821,5481102,3099363,3654067,913516,914299.0106171264
10,10,10,10,10,10,10,2032,220922,110459,3313864,13251,26940,310743.117248594,5426290,2789426,3617526,904380,820859.3044155835
11,11,11,11,11,11,11,2033,223131,111563,3347002,13383,25593,246108.4980084737,5372027,2510483,3581350,895336,920356.7482023776
12,12,12,12,12,12,12,2034,225362,112678,3380472,13516,24313,194917.9029349205,5318306,2259434,3545536,886382,1005125.8820048396
13,13,13,13,13,13,13,2035,227615,113804,3414276,13651,23097,154374.95097695934,5265122,2033490,3510080,877518,898530.5356682744
14,14,14,14,14,14,14,2036,229891,114942,3448418,13787,21942,122264.95413687744,5212470,1830141,3474979,868742,901276.2738892606
15,15,15,15,15,15,15,2037,232189,116091,3482902,13924,20844,96833.83776543244,5160345,1647126,3440229,860054,981015.9570147832
16,16,16,16,16,16,16,2038,234510,117251,3517731,14063,19801,76692.38352244378,5108741,1482413,3405826,851453,1079867.7285213452
17,17,17,17,17,17,17,2039,236855,118423,3552908,14203,18810,60740.35441912059,5057653,1334171,3371767,842938,1153204.7377082948
18,18,18,18,18,18,18,2040,239223,119607,3588437,14345,17869,48106.3559441423,5007076,1200753,3338049,834508,1206449.690573619
19,19,19,19,19,19,19,2041,241615,120803,3624321,14488,16975,38100.22802786104,4957005,1080677,3304668,826162,1283941.7678563204
20,20,20,20,20,20,20,2042,244031,122011,3660564,14632,16126,30175.377646586887,4907434,972609,3271621,817900,1423542.3400220897
21,21,21,21,21,21,21,2043,246471,123231,3697169,14778,15319,23898.893266925697,4858359,875348,3238904,809721,1540391.8350584423
22,22,22,22,22,22,22,2044,248935,124463,3734140,14925,14553,18927.91780056537,4809775,787813,3206514,801623,1430890.344845626
23,23,23,23,23,23,23,2045,251424,125707,3771481,15074,13825,14990.906836812605,4761677,709031,3174448,793606,1099895.4111676917
24,24,24,24,24,24,24,2046,253938,126964,3809195,15224,13133,11872.796250251116,4714060,638127,3142703,785669,1160240.2968171376
25,25,25,25,25,25,25,2047,256477,128233,3847286,15376,12476,9403.25169855378,4666919,574314,3111275,777812,957067.8541926655
26,26,26,26,26,26,26,2048,259041,129515,3885758,15529,11852,7447.374740791678,4620249,516882,3080162,770033,1021079.3503557226
27,27,27,27,27,27,27,2049,261631,130810,3924615,15684,11259,5898.320059680114,4574046,465193,3049360,762332,1075355.9949729426
28,28,28,28,28,28,28,2050,264247,132118,3963861,15840,10696,4671.468868296629,4528305,418673,3018866,754708,922272.8245883686
