,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Year,NumofShip,Newbuilding,Scrap
0,0,0,0,0,0,0,2022,5200,208,208
1,1,1,1,1,1,1,2023,5183,191,208
2,2,2,2,2,2,2,2024,5148,173,208
3,3,3,3,3,3,3,2025,5131,191,208
4,4,4,4,4,4,4,2026,5174,251,208
5,5,5,5,5,5,5,2027,5164,198,208
6,6,6,6,6,6,6,2028,5074,118,208
7,7,7,7,7,7,7,2029,5250,384,208
8,8,8,8,8,8,8,2030,5423,381,208
9,9,9,9,9,9,9,2031,5510,295,208
10,10,10,10,10,10,10,2032,5668,366,208
11,11,11,11,11,11,11,2033,5829,369,208
12,12,12,12,12,12,12,2034,5843,222,208
13,13,13,13,13,13,13,2035,5962,327,208
14,14,14,14,14,14,14,2036,5898,144,208
15,15,15,15,15,15,15,2037,5945,255,208
16,16,16,16,16,16,16,2038,5863,126,208
17,17,17,17,17,17,17,2039,6029,374,208
18,18,18,18,18,18,18,2040,6101,280,208
19,19,19,19,19,19,19,2041,6029,136,208
20,20,20,20,20,20,20,2042,6201,380,208
21,21,21,21,21,21,21,2043,6381,388,208
22,22,22,22,22,22,22,2044,6359,186,208
23,23,23,23,23,23,23,2045,6349,198,208
24,24,24,24,24,24,24,2046,6421,280,208
25,25,25,25,25,25,25,2047,6512,299,208
26,26,26,26,26,26,26,2048,6557,236,191
27,27,27,27,27,27,27,2049,6670,286,173
28,28,28,28,28,28,28,2050,6802,323,191
