,year,config0,config1,config2,config3,config4,config5,config6,config7,config8,config9,config10,config11
0,1997,208,0,0,0,0,0,0,0,0,0,0,0
1,1998,208,0,0,0,0,0,0,0,0,0,0,0
2,1999,208,0,0,0,0,0,0,0,0,0,0,0
3,2000,208,0,0,0,0,0,0,0,0,0,0,0
4,2001,208,0,0,0,0,0,0,0,0,0,0,0
5,2002,208,0,0,0,0,0,0,0,0,0,0,0
6,2003,208,0,0,0,0,0,0,0,0,0,0,0
7,2004,208,0,0,0,0,0,0,0,0,0,0,0
8,2005,208,0,0,0,0,0,0,0,0,0,0,0
9,2006,208,0,0,0,0,0,0,0,0,0,0,0
10,2007,208,0,0,0,0,0,0,0,0,0,0,0
11,2008,208,0,0,0,0,0,0,0,0,0,0,0
12,2009,208,0,0,0,0,0,0,0,0,0,0,0
13,2010,208,0,0,0,0,0,0,0,0,0,0,0
14,2011,208,0,0,0,0,0,0,0,0,0,0,0
15,2012,208,0,0,0,0,0,0,0,0,0,0,0
16,2013,208,0,0,0,0,0,0,0,0,0,0,0
17,2014,208,0,0,0,0,0,0,0,0,0,0,0
18,2015,208,0,0,0,0,0,0,0,0,0,0,0
19,2016,208,0,0,0,0,0,0,0,0,0,0,0
20,2017,208,0,0,0,0,0,0,0,0,0,0,0
21,2018,208,0,0,0,0,0,0,0,0,0,0,0
22,2019,208,0,0,0,0,0,0,0,0,0,0,0
23,2020,208,0,0,0,0,0,0,0,0,0,0,0
24,2021,208,0,0,0,0,0,0,0,0,0,0,0
25,2022,0,0,0,0,208,0,0,0,0,0,0,0
26,2023,0,0,0,0,252,0,0,0,0,0,0,0
27,2024,0,0,0,0,321,0,0,0,0,0,0,0
28,2025,0,0,0,0,244,0,0,0,0,0,0,0
29,2026,0,0,0,0,233,0,0,0,0,0,0,0
30,2027,0,0,0,0,367,0,0,0,0,0,0,0
31,2028,0,0,0,0,176,0,0,0,0,0,0,0
32,2029,0,0,0,0,320,0,0,0,0,0,0,0
33,2030,0,0,0,0,168,0,0,0,0,0,0,0
34,2031,0,0,0,0,267,0,0,0,0,0,0,0
35,2032,0,0,0,0,301,0,0,0,0,0,0,0
36,2033,0,0,0,0,333,0,0,0,0,0,0,0
37,2034,0,0,0,0,235,0,0,0,0,0,0,0
38,2035,0,0,0,0,410,0,0,0,0,0,0,0
39,2036,0,0,0,0,284,0,0,0,0,0,0,0
40,2037,0,0,0,0,195,0,0,0,0,0,0,0
41,2038,0,0,0,0,201,0,0,0,0,0,0,0
42,2039,0,0,0,0,135,0,0,0,0,0,0,0
43,2040,0,0,0,0,336,0,0,0,0,0,0,0
44,2041,0,0,0,0,141,0,0,0,0,0,0,0
45,2042,0,0,0,0,253,0,0,0,0,0,0,0
46,2043,0,0,0,0,221,0,0,0,0,0,0,0
47,2044,0,0,0,0,276,0,0,0,0,0,0,0
48,2045,0,0,0,0,217,0,0,0,0,0,0,0
49,2046,0,0,0,0,362,0,0,0,0,0,0,0
50,2047,0,0,0,0,328,0,0,0,0,0,0,0
51,2048,0,0,0,0,221,0,0,0,0,0,0,0
52,2049,0,0,0,0,333,0,0,0,0,0,0,0
53,2050,0,0,0,0,362,0,0,0,0,0,0,0
