,year,tech_name,tech_cost,integ_factor,TRL,Rexp,Mexp,Oexp,tech_cost_min
0,2022,Berth,204000,1.2,4,1000200,0,0,34000
1,2022,Navi,170000,1.2,5,1000000,0,0,34000
2,2022,Moni,408000,1.2,7,1000000,0,0,136000
0,2023,Berth,204000,1.2,4,2000500,0,0,34000
1,2023,Navi,170000,1.2,5,2000000,0,0,34000
2,2023,Moni,408000,1.1583999999999999,7,2000000,208,208,136000
0,2024,Berth,204000,1.2,4,3000900,0,0,34000
1,2024,Navi,170000,1.2,5,3000000,0,0,34000
2,2024,Moni,408000,1.1079999999999999,7,3000000,460,668,136000
0,2025,Berth,204000,1.2,4,4001400,0,0,34000
1,2025,Navi,170000,1.2,5,4000000,0,0,34000
2,2025,Moni,408000,1.0438,7,4000000,781,1449,136000
0,2026,Berth,204000,1.2,4,5002000,0,0,34000
1,2026,Navi,170000,1.2,5,5000000,0,0,34000
2,2026,Moni,408000,1.0,7,5000000,1025,2474,136000
0,2027,Berth,204000,1.2,4,6002700,0,0,34000
1,2027,Navi,170000,1.2,5,6000000,0,0,34000
2,2027,Moni,408000,1.0,7,6000000,1258,3732,136000
0,2028,Berth,204000,1.2,4,7003500,0,0,34000
1,2028,Navi,170000,1.2,5,7000000,0,0,34000
2,2028,Moni,408000,1.0,7,7000000,1625,5357,136000
0,2029,Berth,204000,1.2,4,8004400,0,0,34000
1,2029,Navi,170000,1.2,5,8000000,0,0,34000
2,2029,Moni,408000,1.0,7,8000000,1801,7158,136000
0,2030,Berth,204000,1.2,4,9005400,0,0,34000
1,2030,Navi,170000,1.2,5,9000000,0,0,34000
2,2030,Moni,408000,1.0,7,9000000,2121,9279,136000
0,2031,Berth,204000,1.2,4,10006500,0,0,34000
1,2031,Navi,170000,1.2,5,10000000,0,0,34000
2,2031,Moni,408000,1.0,7,10000000,2289,11568,136000
0,2032,Berth,204000,1.2,4,11007700,0,0,34000
1,2032,Navi,170000,1.2,5,11000000,0,0,34000
2,2032,Moni,408000,1.0,7,11000000,2556,14124,136000
0,2033,Berth,204000,1.2,4,12009000,0,0,34000
1,2033,Navi,170000,1.2,5,12000000,0,0,34000
2,2033,Moni,408000,1.0,7,12000000,2857,16981,136000
0,2034,Berth,204000,1.2,4,13010400,0,0,34000
1,2034,Navi,170000,1.2,5,13000000,0,0,34000
2,2034,Moni,408000,1.0,7,13000000,3190,20171,136000
0,2035,Berth,204000,1.2,4,14011900,0,0,34000
1,2035,Navi,170000,1.2,5,14000000,0,0,34000
2,2035,Moni,408000,1.0,7,14000000,3425,23596,136000
0,2036,Berth,204000,1.2,4,15013500,0,0,34000
1,2036,Navi,170000,1.2,5,15000000,0,0,34000
2,2036,Moni,408000,1.0,7,15000000,3835,27431,136000
0,2037,Berth,204000,1.2,4,16015200,0,0,34000
1,2037,Navi,170000,1.2,5,16000000,0,0,34000
2,2037,Moni,408000,1.0,7,16000000,4119,31550,136000
0,2038,Berth,204000,1.2,4,17017000,0,0,34000
1,2038,Navi,170000,1.2,5,17000000,0,0,34000
2,2038,Moni,408000,1.0,7,17000000,4314,35864,136000
0,2039,Berth,204000,1.2,4,18018900,0,0,34000
1,2039,Navi,170000,1.2,5,18000000,0,0,34000
2,2039,Moni,408000,1.0,7,18000000,4515,40379,136000
0,2040,Berth,204000,1.2,4,19020900,0,0,34000
1,2040,Navi,170000,1.2,5,19000000,0,0,34000
2,2040,Moni,408000,1.0,7,19000000,4650,45029,136000
0,2041,Berth,204000,1.2,4,20023000,0,0,34000
1,2041,Navi,170000,1.2,5,20000000,0,0,34000
2,2041,Moni,408000,1.0,7,20000000,4986,50015,136000
0,2042,Berth,170000,1.2,5,1025200,0,0,34000
1,2042,Navi,170000,1.2,5,21000000,0,0,34000
2,2042,Moni,272000,1.0,8,1000000,5127,55142,136000
0,2043,Berth,170000,1.2,5,2027500,0,0,34000
1,2043,Navi,136000,1.2,6,2000000,0,0,34000
2,2043,Moni,272000,1.0,8,2000000,5380,60522,136000
0,2044,Berth,170000,1.2,5,3029900,0,0,34000
1,2044,Navi,136000,1.2,6,3000000,0,0,34000
2,2044,Moni,272000,1.0,8,3000000,5601,66123,136000
0,2045,Berth,170000,1.2,5,4032400,0,0,34000
1,2045,Navi,136000,1.2,6,4000000,0,0,34000
2,2045,Moni,272000,1.0,8,4000000,5877,72000,136000
0,2046,Berth,170000,1.2,5,5035000,0,0,34000
1,2046,Navi,136000,1.2,6,5000000,0,0,34000
2,2046,Moni,272000,1.0,8,5000000,6094,78094,136000
0,2047,Berth,170000,1.2,5,6037700,0,0,34000
1,2047,Navi,136000,1.2,6,6000000,0,0,34000
2,2047,Moni,272000,1.0,8,6000000,6456,84550,136000
0,2048,Berth,170000,1.2,5,7040500,0,0,34000
1,2048,Navi,136000,1.2,6,7000000,0,0,34000
2,2048,Moni,272000,1.0,8,7000000,6784,91126,136000
0,2049,Berth,170000,1.2,5,8043400,0,0,34000
1,2049,Navi,136000,1.2,6,8000000,0,0,34000
2,2049,Moni,272000,1.0,8,8000000,7005,97671,136000
0,2050,Berth,170000,1.2,5,9046400,0,0,34000
1,2050,Navi,136000,1.2,6,9000000,0,0,34000
2,2050,Moni,272000,1.0,8,9000000,7338,104228,136000
