,year,tech_name,tech_cost,integ_factor,integ_factor_ini,TRL,Rexp,Mexp,Oexp,tech_cost_min,accident_ratio,accident_ratio_base,accident_ratio_ini
0,2022,Berth,34000,1.2,1.2,6,5833333.333333333,0.0,0.0,34000,96.0,96.0,96
1,2022,Navi,34000,1.2,1.2,3,5833333.333333333,0.0,0.0,34000,78.0,78.0,78
2,2022,Moni,136000,1.2,1.2,4,5833333.333333333,0.0,0.0,136000,32.0,32.0,32
0,2023,Berth,34000,1.2,1.2,6,11666666.666666666,0.0,0.0,34000,96.0,96.0,96
1,2023,Navi,34000,1.2,1.2,3,11666666.666666666,0.0,0.0,34000,78.0,78.0,78
2,2023,Moni,136000,1.2,1.2,4,11666666.666666666,0.0,0.0,136000,32.0,32.0,32
0,2024,Berth,34000,1.2,1.2,6,17500000.0,0.0,0.0,34000,96.0,96.0,96
1,2024,Navi,34000,1.2,1.2,3,17500000.0,0.0,0.0,34000,78.0,78.0,78
2,2024,Moni,136000,1.2,1.2,4,17500000.0,0.0,0.0,136000,32.0,32.0,32
0,2025,Berth,34000,1.2,1.2,6,23333333.333333332,0.0,0.0,34000,96.0,96.0,96
1,2025,Navi,34000,1.2,1.2,3,23333333.333333332,0.0,0.0,34000,78.0,78.0,78
2,2025,Moni,136000,1.2,1.2,4,23333333.333333332,0.0,0.0,136000,32.0,32.0,32
0,2026,Berth,34000,1.2,1.2,7,9166666.666666664,0.0,0.0,34000,95.825,95.825,96
1,2026,Navi,34000,1.2,1.2,4,9166666.666666664,0.0,0.0,34000,78.0,78.0,78
2,2026,Moni,136000,1.2,1.2,5,9166666.666666664,0.0,0.0,136000,32.0,32.0,32
0,2027,Berth,34000,1.0253648817972865,1.2,7,14999999.999999998,50.0,50.0,34000,43.64804463013585,95.825,96
1,2027,Navi,34000,1.2,1.2,4,14999999.999999998,0.0,0.0,34000,78.0,78.0,78
2,2027,Moni,136000,1.2,1.2,5,14999999.999999998,0.0,0.0,136000,32.0,32.0,32
0,2028,Berth,34000,1.0,1.2,7,20833333.333333332,100.0,150.0,34000,35.13042780260261,95.825,96
1,2028,Navi,34000,1.2,1.2,4,20833333.333333332,0.0,0.0,34000,78.0,78.0,78
2,2028,Moni,136000,1.2,1.2,5,20833333.333333332,0.0,0.0,136000,32.0,32.0,32
0,2029,Berth,34000,1.0,1.2,8,6666666.666666664,150.0,300.0,34000,30.547218772698976,95.65,96
1,2029,Navi,34000,1.2,1.2,5,6666666.666666664,0.0,0.0,34000,78.0,78.0,78
2,2029,Moni,136000,1.2,1.2,6,6666666.666666664,0.0,0.0,136000,32.0,32.0,32
0,2030,Berth,34000,1.0,1.2,8,12499999.999999998,200.0,500.0,34000,27.587822888374056,95.65,96
1,2030,Navi,34000,1.2,1.2,5,12499999.999999998,0.0,0.0,34000,78.0,78.0,78
2,2030,Moni,136000,1.2,1.2,6,12499999.999999998,0.0,0.0,136000,32.0,32.0,32
0,2031,Berth,34000,1.0,1.2,9,4000000.0,250.0,750.0,34000,25.349238250793213,95.3,96
1,2031,Navi,34000,1.2,1.2,5,18333333.333333332,0.0,0.0,34000,78.0,78.0,78
2,2031,Moni,136000,1.2,1.2,6,18333333.333333332,0.0,0.0,136000,32.0,32.0,32
0,2032,Berth,34000,1.0,1.2,9,9833333.333333332,300.0,1050.0,34000,23.70131036996899,95.3,96
1,2032,Navi,34000,1.2,1.2,6,4166666.666666664,0.0,0.0,34000,78.0,78.0,78
2,2032,Moni,136000,1.2,1.2,7,4166666.666666664,0.0,0.0,136000,31.825,31.825,32
0,2033,Berth,34000,1.0,1.2,9,15666666.666666666,350.0,1400.0,34000,22.377175788844458,95.3,96
1,2033,Navi,34000,1.053373314772748,1.2,6,9999999.999999996,25.0,25.0,34000,40.65368643481461,78.0,78
2,2033,Moni,136000,1.0253648817972865,1.2,7,9999999.999999996,50.0,50.0,136000,14.496206839071988,31.825,32
0,2034,Berth,34000,1.0,1.2,9,21500000.0,401.0,1801.0,34000,21.278545743702587,95.3,96
1,2034,Navi,34000,1.024964814298148,1.2,6,15833333.33333333,50.5,75.5,34000,32.76138969354712,78.0,78
2,2034,Moni,136000,1.0,1.2,7,15833333.33333333,101.0,151.0,136000,11.651979040133567,31.825,32
0,2035,Berth,34000,1.0,1.2,9,27333333.333333332,452.0,2253.0,34000,20.347081202321615,95.3,96
1,2035,Navi,34000,1.0,1.2,6,21666666.666666664,101.5,177.0,34000,27.670091942923605,78.0,78
2,2035,Moni,136000,1.0,1.2,8,4000000.0,152.0,303.0,136000,10.087858866299358,31.65,32
0,2036,Berth,34000,1.0,1.2,9,33166666.666666664,503.0,2756.0,34000,19.543644194945987,95.3,96
1,2036,Navi,34000,1.0,1.2,7,7499999.999999996,152.5,329.5,34000,24.3941020658872,77.825,78
2,2036,Moni,136000,1.0,1.2,8,9833333.333333332,203.0,506.0,136000,9.10693260194943,31.65,32
0,2037,Berth,34000,1.0,1.2,9,39000000.0,554.0,3310.0,34000,18.840874836917845,95.3,96
1,2037,Navi,34000,1.0,1.2,7,13333333.33333333,203.5,533.0,34000,22.162098355650716,77.825,78
2,2037,Moni,136000,1.0,1.2,8,15666666.666666666,254.0,760.0,136000,8.396470819399728,31.65,32
0,2038,Berth,34000,1.0,1.2,9,44833333.333333336,605.0,3915.0,34000,18.21899279159082,95.3,96
1,2038,Navi,34000,1.0,1.2,8,4000000.0,254.5,787.5,34000,20.454135118143757,77.65,78
2,2038,Moni,136000,1.0,1.2,9,4000000.0,305.0,1065.0,136000,7.762344203075727,31.3,32
0,2039,Berth,34000,1.0,1.2,9,50666666.66666667,656.0,4571.0,34000,17.663292316306393,95.3,96
1,2039,Navi,34000,1.0,1.2,8,9833333.333333332,305.5,1093.0,34000,19.157463009506493,77.65,78
2,2039,Moni,136000,1.0,1.2,9,9833333.333333332,356.0,1421.0,136000,7.327644953090244,31.3,32
0,2040,Berth,34000,1.0,1.2,9,56500000.00000001,707.0,5278.0,34000,17.162579747480837,95.3,96
1,2040,Navi,34000,1.0,1.2,9,4000000.0,356.5,1449.5,34000,18.025027969595744,77.3,78
2,2040,Moni,136000,1.0,1.2,9,15666666.666666666,407.0,1828.0,136000,6.967894981309367,31.3,32
0,2041,Berth,34000,1.0,1.2,9,62333333.33333334,758.0,6036.0,34000,16.708161538168255,95.3,96
1,2041,Navi,34000,1.0,1.2,9,9833333.333333332,407.5,1857.0,34000,17.154195370598334,77.3,78
2,2041,Moni,136000,1.0,1.2,9,21500000.0,458.0,2286.0,136000,6.663326662656029,31.3,32
0,2042,Berth,34000,1.0,1.2,9,68166666.66666669,809.0,6845.0,34000,16.293167478584305,95.3,96
1,2042,Navi,34000,1.0,1.2,9,15666666.666666666,458.5,2315.5,34000,16.413947235878666,77.3,78
2,2042,Moni,136000,1.0,1.2,9,27333333.333333332,509.0,2795.0,136000,6.4008390086524996,31.3,32
0,2043,Berth,34000,1.0,1.2,9,74000000.00000001,860.0,7705.0,34000,15.912085353330884,95.3,96
1,2043,Navi,34000,1.0,1.2,9,21500000.0,509.5,2825.0,34000,15.77411716921316,77.3,78
2,2043,Moni,136000,1.0,1.2,9,33166666.666666664,560.0,3355.0,136000,6.171346725460738,31.3,32
0,2044,Berth,34000,1.0,1.2,9,79833333.33333334,912.0,8617.0,34000,15.560072016121827,95.3,96
1,2044,Navi,34000,1.0,1.2,9,27333333.333333332,561.5,3386.5,34000,15.212606552406703,77.3,78
2,2044,Moni,136000,1.0,1.2,9,39000000.0,612.0,3967.0,136000,5.96801635809375,31.3,32
0,2045,Berth,34000,1.0,1.2,9,85666666.66666667,964.0,9581.0,34000,15.23356911576966,95.3,96
1,2045,Navi,34000,1.0,1.2,9,33166666.666666664,613.5,4000.0,34000,14.714509294370533,77.3,78
2,2045,Moni,136000,1.0,1.2,9,44833333.333333336,664.0,4631.0,136000,5.786162514483558,31.3,32
0,2046,Berth,34000,1.0,1.2,9,91500000.0,1016.0,10597.0,34000,14.929598127111571,95.3,96
1,2046,Navi,34000,1.0,1.2,9,39000000.0,665.5,4665.5,34000,14.26859594536497,77.3,78
2,2046,Moni,136000,1.0,1.2,9,50666666.66666667,716.0,5347.0,136000,5.6221969838115085,31.3,32
0,2047,Berth,34000,1.0,1.2,9,97333333.33333333,1068.0,11665.0,34000,14.645645110608452,95.3,96
1,2047,Navi,34000,1.0,1.2,9,44833333.333333336,717.5,5383.0,34000,13.866232684638325,77.3,78
2,2047,Moni,136000,1.0,1.2,9,56500000.00000001,768.0,6115.0,136000,5.473320026472833,31.3,32
0,2048,Berth,34000,1.0,1.2,9,103166666.66666666,1120.0,12785.0,34000,14.379572030274254,95.3,96
