Config,0,1,2,3,4,5,6,7,8,9,10,11
crew_cost,945000,945000,760161,575322,418165,760161,575322,418165,233326,0,233326,0
store_cost,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000
maint_cost,268000,268000,261300,254600,221100,261300,254600,221100,214400,207700,214400,207700
insurance_cost,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000
general_costs,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000
dock_cost,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000
material_cost,906667,906667,889667,872667,872667,889667,872667,872667,855667,838667,855667,838667
integ_cost,453333,453333,453333,453333,453333,453333,453333,453333,453333,453333,453333,453333
add_cost,0,34000,17000,34000,136000,51000,68000,170000,153000,170000,187000,204000
SCC_capex,0,0,23444,23444,23444,23444,23444,23444,46889,46889,46889,46889
SCC_opex,0,0,11181,11181,11181,11181,11181,11181,22361,22361,22361,22361
SCC_crew,0,0,132889,132889,132889,132889,132889,132889,265778,265778,265778,265778
mntcrew_port,0,0,0,0,155250,0,0,155250,155250,155250,155250,155250
port_call,600000,540000,600000,600000,600000,540000,540000,540000,600000,600000,540000,540000
ME_fuel_cost,1840000,1840000,1840000,1773760,1840000,1840000,1773760,1840000,1840000,1773760,1840000,1773760
AE_fuel_cost,280000,280000,268800,257600,201600,268800,257600,201600,190400,179200,190400,179200
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
