,Year,NumofShip,Newbuilding,Scrap
0,2022,5200,208,208
1,2023,5244,252,208
2,2024,5357,321,208
3,2025,5393,244,208
4,2026,5418,233,208
5,2027,5577,367,208
6,2028,5545,176,208
7,2029,5657,320,208
8,2030,5617,168,208
9,2031,5676,267,208
10,2032,5769,301,208
11,2033,5894,333,208
12,2034,5921,235,208
13,2035,6123,410,208
14,2036,6199,284,208
15,2037,6186,195,208
16,2038,6179,201,208
17,2039,6106,135,208
18,2040,6234,336,208
19,2041,6167,141,208
20,2042,6212,253,208
21,2043,6225,221,208
22,2044,6293,276,208
23,2045,6302,217,208
24,2046,6456,362,208
25,2047,6576,328,208
26,2048,6545,221,252
27,2049,6557,333,321
28,2050,6675,362,244
