ship_type,SituationAwareness,Planning,Control,Remote,num_sf,num_so,sec_cost,com_cost,acc_ratio,add_port_cost
ship_1,FullAuto,FullAuto,FullAuto,Control,0,2,10,5,0.1,1
ship_2,FullAuto,FullAuto,SemiAuto,Control,1,2,5,5,0.1,0
ship_3,FullAuto,FullAuto,AsIs,Control,2,2,5,5,0.1,0
ship_4,FullAuto,SemiAuto,FullAuto,Control,2,2,5,5,0.2,1
ship_5,FullAuto,SemiAuto,SemiAuto,Control,3,2,1,5,0.2,0
ship_6,FullAuto,SemiAuto,AsIs,Control,4,2,1,5,0.2,0
ship_7,FullAuto,AsIs,FullAuto,Control,4,2,5,5,1,1
ship_8,FullAuto,AsIs,SemiAuto,Control,5,2,1,5,1,0
ship_9,FullAuto,AsIs,AsIs,Control,6,2,1,5,1,0
ship_10,SemiAuto,FullAuto,FullAuto,Control,1,2,5,5,0.1,1
ship_11,SemiAuto,FullAuto,SemiAuto,Control,2,2,1,5,0.1,0
ship_12,SemiAuto,FullAuto,AsIs,Control,3,2,1,5,0.1,0
ship_13,SemiAuto,SemiAuto,FullAuto,Control,3,2,1,5,0.2,1
ship_14,SemiAuto,SemiAuto,SemiAuto,Control,4,2,1,5,0.2,0
ship_15,SemiAuto,SemiAuto,AsIs,Control,5,2,1,5,0.2,0
ship_16,SemiAuto,AsIs,FullAuto,Control,5,2,1,5,1,1
ship_17,SemiAuto,AsIs,SemiAuto,Control,6,2,1,5,1,0
ship_18,SemiAuto,AsIs,AsIs,Control,7,2,1,5,1,0
ship_19,AsIs,FullAuto,FullAuto,Control,2,2,5,5,0.1,1
ship_20,AsIs,FullAuto,SemiAuto,Control,3,2,1,5,0.1,0
ship_21,AsIs,FullAuto,AsIs,Control,4,2,1,5,0.1,0
ship_22,AsIs,SemiAuto,FullAuto,Control,4,2,1,5,0.2,1
ship_23,AsIs,SemiAuto,SemiAuto,Control,5,2,1,5,0.2,0
ship_24,AsIs,SemiAuto,AsIs,Control,6,2,1,5,0.2,0
ship_25,AsIs,AsIs,FullAuto,Control,6,2,1,5,1,1
ship_26,AsIs,AsIs,SemiAuto,Control,7,2,1,5,1,0
ship_27,AsIs,AsIs,AsIs,Control,8,2,1,5,1,0
ship_28,FullAuto,FullAuto,FullAuto,Monitor,0,1,10,2,0.1,1
ship_29,FullAuto,FullAuto,SemiAuto,Monitor,1,1,5,2,0.1,0
ship_30,FullAuto,FullAuto,AsIs,Monitor,2,1,5,2,0.1,0
ship_31,FullAuto,SemiAuto,FullAuto,Monitor,2,1,5,2,0.2,1
ship_32,FullAuto,SemiAuto,SemiAuto,Monitor,3,1,1,2,0.2,0
ship_33,FullAuto,SemiAuto,AsIs,Monitor,4,1,1,2,0.2,0
ship_34,FullAuto,AsIs,FullAuto,Monitor,4,1,5,2,1,1
ship_35,FullAuto,AsIs,SemiAuto,Monitor,5,1,1,2,1,0
ship_36,FullAuto,AsIs,AsIs,Monitor,6,1,1,2,1,0
ship_37,SemiAuto,FullAuto,FullAuto,Monitor,1,1,5,2,0.1,1
ship_38,SemiAuto,FullAuto,SemiAuto,Monitor,2,1,1,2,0.1,0
ship_39,SemiAuto,FullAuto,AsIs,Monitor,3,1,1,2,0.1,0
ship_40,SemiAuto,SemiAuto,FullAuto,Monitor,3,1,1,2,0.2,1
ship_41,SemiAuto,SemiAuto,SemiAuto,Monitor,4,1,1,2,0.2,0
ship_42,SemiAuto,SemiAuto,AsIs,Monitor,5,1,1,2,0.2,0
ship_43,SemiAuto,AsIs,FullAuto,Monitor,5,1,1,2,1,1
ship_44,SemiAuto,AsIs,SemiAuto,Monitor,6,1,1,2,1,0
ship_45,SemiAuto,AsIs,AsIs,Monitor,7,1,1,2,1,0
ship_46,AsIs,FullAuto,FullAuto,Monitor,2,1,5,2,0.1,1
ship_47,AsIs,FullAuto,SemiAuto,Monitor,3,1,1,2,0.1,0
ship_48,AsIs,FullAuto,AsIs,Monitor,4,1,1,2,0.1,0
ship_49,AsIs,SemiAuto,FullAuto,Monitor,4,1,1,2,0.2,1
ship_50,AsIs,SemiAuto,SemiAuto,Monitor,5,1,1,2,0.2,0
ship_51,AsIs,SemiAuto,AsIs,Monitor,6,1,1,2,0.2,0
ship_52,AsIs,AsIs,FullAuto,Monitor,6,1,1,2,1,1
ship_53,AsIs,AsIs,SemiAuto,Monitor,7,1,1,2,1,0
ship_54,AsIs,AsIs,AsIs,Monitor,8,1,1,2,1,0
ship_55,FullAuto,FullAuto,FullAuto,NA,0,0,10,1,0.1,1
ship_56,FullAuto,FullAuto,SemiAuto,NA,1,0,5,1,0.1,0
ship_57,FullAuto,FullAuto,AsIs,NA,2,0,5,1,0.1,0
ship_58,FullAuto,SemiAuto,FullAuto,NA,2,0,5,1,0.2,1
ship_59,FullAuto,SemiAuto,SemiAuto,NA,3,0,1,1,0.2,0
ship_60,FullAuto,SemiAuto,AsIs,NA,4,0,1,1,0.2,0
ship_61,FullAuto,AsIs,FullAuto,NA,4,0,5,1,1,1
ship_62,FullAuto,AsIs,SemiAuto,NA,5,0,1,1,1,0
ship_63,FullAuto,AsIs,AsIs,NA,6,0,1,1,1,0
ship_64,SemiAuto,FullAuto,FullAuto,NA,1,0,5,1,0.1,1
ship_65,SemiAuto,FullAuto,SemiAuto,NA,2,0,1,1,0.1,0
ship_66,SemiAuto,FullAuto,AsIs,NA,3,0,1,1,0.1,0
ship_67,SemiAuto,SemiAuto,FullAuto,NA,3,0,1,1,0.2,1
ship_68,SemiAuto,SemiAuto,SemiAuto,NA,4,0,1,1,0.2,0
ship_69,SemiAuto,SemiAuto,AsIs,NA,5,0,1,1,0.2,0
ship_70,SemiAuto,AsIs,FullAuto,NA,5,0,1,1,1,1
ship_71,SemiAuto,AsIs,SemiAuto,NA,6,0,1,1,1,0
ship_72,SemiAuto,AsIs,AsIs,NA,7,0,1,1,1,0
ship_73,AsIs,FullAuto,FullAuto,NA,2,0,5,1,0.1,1
ship_74,AsIs,FullAuto,SemiAuto,NA,3,0,1,1,0.1,0
ship_75,AsIs,FullAuto,AsIs,NA,4,0,1,1,0.1,0
ship_76,AsIs,SemiAuto,FullAuto,NA,4,0,1,1,0.2,1
ship_77,AsIs,SemiAuto,SemiAuto,NA,5,0,1,1,0.2,0
ship_78,AsIs,SemiAuto,AsIs,NA,6,0,1,1,0.2,0
